img_id,correct_inf,inf_label,inf_conf,inf_top2diff,inf_loss
0,0,188,15.666498243808746,11.020059883594513,11.95179271697998
1,0,66,7.873619347810745,0.1215219497680664,7.575305938720703
2,0,653,9.929275512695312,5.395360663533211,11.120986938476562
3,0,168,11.904804408550262,4.443143308162689,10.883810997009277
4,0,747,37.64570951461792,16.614699363708496,15.759267807006836
5,0,503,29.311075806617737,12.898018956184387,12.080629348754883
6,0,556,18.17537695169449,10.256411880254745,9.307746887207031
7,0,979,13.94779086112976,3.8437508046627045,6.6816725730896
8,0,392,12.487760186195374,3.75630259513855,10.57031536102295
9,0,998,25.43659210205078,1.2608140707015991,13.030797004699707
10,0,451,36.04663908481598,23.321279883384705,14.662593841552734
11,0,693,93.20525527000427,90.7505214214325,12.979997634887695
12,0,68,20.741447806358337,12.215818464756012,9.447297096252441
13,0,83,43.12657117843628,20.068873465061188,13.351456642150879
14,0,73,87.19072341918945,85.49702167510986,11.402419090270996
15,0,349,27.795878052711487,4.549814760684967,11.407651901245117
16,0,149,99.86588954925537,99.79690313339233,15.098708152770996
17,0,872,60.73855757713318,38.29043805599213,18.580730438232422
18,0,798,28.309568762779236,4.3440550565719604,11.832530975341797
19,0,540,22.387701272964478,9.746277332305908,8.373554229736328
20,0,831,8.348158746957779,3.4227024763822556,9.145825386047363
21,0,856,45.37460803985596,36.73968315124512,8.763656616210938
22,0,206,29.188421368598938,12.429222464561462,16.16779899597168
23,0,912,51.244550943374634,36.98278367519379,10.13535213470459
24,0,975,61.40746474266052,55.33214807510376,7.4909348487854
25,0,986,18.441928923130035,5.162899196147919,11.140137672424316
26,0,437,26.574432849884033,17.49495267868042,7.5594329833984375
27,0,294,90.60249924659729,87.18574643135071,17.68611717224121
28,0,726,13.511547446250916,7.110772281885147,10.751590728759766
29,0,341,18.050774931907654,5.12859970331192,8.38351821899414
30,0,699,10.335029661655426,1.0961614549160004,10.939718246459961
31,0,567,88.21036219596863,80.6891679763794,12.996679306030273
32,0,964,46.11046612262726,7.363641262054443,12.406301498413086
33,0,294,99.94912147521973,99.91294145584106,24.101648330688477
34,0,789,9.198078513145447,0.6814651191234589,11.99874496459961
35,0,883,12.576349079608917,2.462214231491089,13.360856056213379
36,0,438,10.896042734384537,4.716010391712189,7.440746307373047
37,0,160,10.493139922618866,3.234335035085678,9.618803024291992
38,0,384,17.777273058891296,4.471176862716675,8.644867897033691
39,0,353,70.78617215156555,51.93786025047302,12.62523365020752
40,0,747,32.947033643722534,3.8378089666366577,17.973909378051758
41,0,727,41.598984599113464,15.474987030029297,12.216987609863281
42,0,51,18.237337470054626,4.411143064498901,6.422979831695557
43,0,73,29.393652081489563,15.01423716545105,10.63606071472168
44,0,542,10.79937145113945,0.9423024952411652,12.388920783996582
45,0,116,17.481252551078796,10.121619701385498,9.34583854675293
46,0,978,25.99196434020996,8.17951112985611,10.572505950927734
47,0,763,11.512835323810577,1.2336090207099915,14.449627876281738
48,0,623,24.62070733308792,0.2402663230895996,12.736678123474121
49,0,969,24.412910640239716,5.601917207241058,10.924736976623535
50,0,925,15.600652992725372,5.973490327596664,13.60295581817627
51,0,978,27.202510833740234,1.5120834112167358,10.766425132751465
52,0,147,19.649074971675873,7.310804724693298,6.854391574859619
53,0,73,80.51510453224182,75.98761916160583,14.385336875915527
54,0,135,38.76223564147949,33.60174596309662,6.708132266998291
55,0,65,10.678642243146896,2.339496463537216,8.741565704345703
56,0,358,7.398445904254913,0.2110026776790619,9.41361141204834
57,0,294,29.671427607536316,21.47752046585083,10.300346374511719
58,0,78,51.96160078048706,40.89629054069519,13.291644096374512
59,0,885,36.6833359003067,8.36869478225708,12.991912841796875
60,0,877,82.96955823898315,79.9302339553833,15.172516822814941
61,0,135,56.534260511398315,26.788675785064697,12.69650936126709
62,0,107,54.191654920578,42.182570695877075,13.294588088989258
63,0,293,19.937975704669952,5.213834345340729,12.158456802368164
64,0,812,43.065229058265686,25.617611408233643,14.261884689331055
65,0,62,82.63874650001526,78.57580184936523,9.539535522460938
66,0,857,23.303964734077454,11.850300431251526,12.22368049621582
67,0,926,46.45802080631256,7.0188552141189575,13.705032348632812
68,0,856,92.6539421081543,89.7687017917633,19.300199508666992
69,0,970,30.448031425476074,13.549807667732239,9.246536254882812
70,0,653,18.310733139514923,11.020860821008682,9.48585033416748
71,0,285,56.85439109802246,49.20578598976135,14.022200584411621
72,0,295,18.926435708999634,4.626108705997467,12.195408821105957
73,0,962,15.166479349136353,3.149992972612381,10.01988410949707
74,0,103,35.59039533138275,23.14707487821579,11.759639739990234
75,0,289,30.250343680381775,12.589716911315918,12.818974494934082
76,0,567,28.53897511959076,10.234971344470978,7.79877233505249
77,0,599,39.62309956550598,28.692150115966797,10.052532196044922
78,0,221,22.666257619857788,12.543857097625732,14.254959106445312
79,0,5,31.14658296108246,4.375582933425903,10.212860107421875
80,0,540,25.077718496322632,14.294600486755371,8.641179084777832
81,0,663,24.19700175523758,6.70974999666214,9.768298149108887
82,0,856,40.00488817691803,27.887392044067383,13.060328483581543
83,0,660,13.947542011737823,3.7616297602653503,6.561856746673584
84,0,28,42.06154942512512,19.494915008544922,10.38659954071045
85,0,645,27.743834257125854,9.080769121646881,11.7157621383667
86,0,351,9.908828139305115,5.348769575357437,7.097742080688477
87,0,73,79.37783002853394,77.49707698822021,11.157533645629883
88,0,683,43.746015429496765,24.188004434108734,9.381600379943848
89,0,623,22.14689999818802,16.32070243358612,12.724608421325684
90,0,109,82.4849009513855,78.37865948677063,18.26750373840332
91,0,282,23.909492790699005,3.721056878566742,13.427617073059082
92,0,729,17.029400169849396,0.293809175491333,13.392684936523438
93,0,126,17.691028118133545,3.500451147556305,11.349859237670898
94,0,147,72.72176742553711,59.489357471466064,9.055517196655273
95,0,164,35.31569540500641,15.79204648733139,13.51257610321045
96,0,287,12.368962913751602,1.923947036266327,7.174942970275879
97,0,183,14.554639160633087,5.477232486009598,10.488941192626953
98,0,68,31.378871202468872,13.890865445137024,10.229971885681152
99,0,925,70.44928669929504,57.50126838684082,11.143231391906738
100,0,34,33.94022285938263,21.380291879177094,6.5100507736206055
101,0,949,55.6877076625824,45.41136026382446,10.433688163757324
102,0,851,12.124550342559814,3.2817184925079346,11.253920555114746
103,0,438,69.4085955619812,58.156198263168335,17.482833862304688
104,0,577,17.816820740699768,7.709095627069473,9.930920600891113
105,0,556,15.827882289886475,10.76613962650299,8.749598503112793
106,0,149,29.193580150604248,4.981301724910736,4.753317832946777
107,0,925,9.311572462320328,0.3092147409915924,12.80044937133789
108,0,360,25.05761682987213,16.853642463684082,9.564802169799805
109,0,938,58.43307375907898,28.546398878097534,14.024081230163574
110,0,860,62.23558187484741,42.21741855144501,14.573076248168945
111,0,588,5.865897610783577,1.6164671629667282,9.233952522277832
112,0,812,20.309609174728394,3.4441962838172913,11.0652437210083
113,0,940,52.601516246795654,45.34007906913757,10.095643997192383
114,0,660,43.75777244567871,33.91132056713104,8.87109661102295
115,0,335,39.354437589645386,32.13575482368469,8.925069808959961
116,0,612,16.779817640781403,10.242153704166412,7.298822402954102
117,0,683,14.089728891849518,4.910159856081009,11.233378410339355
118,0,147,48.239973187446594,37.202465534210205,10.588436126708984
119,0,831,27.877584099769592,16.10568016767502,12.562350273132324
120,0,822,14.717590808868408,7.187910377979279,9.518121719360352
